period,cock,crow,owl,peacock,vulture
0,1,5,4,3,2
1,1,5,4,3,2
2,1,5,4,3,2
3,1,1,4,3,2
4,1,1,5,3,2
5,1,1,5,3,2
6,1,1,1,2,2
7,3,1,1,2,2
8,3,1,1,2,2
9,3,3,1,2,4
10,3,3,1,2,4
11,3,3,1,2,4
12,2,3,3,2,5
13,2,3,3,2,5
14,2,2,3,4,1
15,2,2,3,4,1
16,2,2,3,4,1
17,2,2,2,5,1
18,2,2,2,5,1
19,2,2,2,1,1
20,4,2,2,1,3
21,4,2,2,1,3
22,4,4,2,1,3
23,5,4,2,1,3
24,5,4,2,1,3
25,3,1,5,2,4
26,3,1,5,2,4
27,3,1,1,2,4
28,3,1,1,2,5
29,3,1,1,2,5
30,2,1,1,2,1
31,2,3,1,2,1
32,2,3,1,2,1
33,2,3,3,4,1
34,2,3,3,4,1
35,2,3,3,4,1
36,2,2,3,5,3
37,2,2,3,5,3
38,4,2,2,1,3
39,4,2,2,1,3
40,4,2,2,1,3
41,5,2,2,1,2
42,5,2,2,1,2
43,1,2,2,1,2
44,1,4,2,3,2
45,1,4,2,3,2
46,1,4,4,3,2
47,1,5,4,3,2
48,1,5,4,3,2
49,2,3,1,4,5
50,2,3,1,4,5
51,2,3,1,4,1
52,2,3,1,5,1
53,2,3,1,5,1
54,2,2,1,1,1
55,2,2,3,1,1
56,2,2,3,1,1
57,4,2,3,1,3
58,4,2,3,1,3
59,4,2,3,1,3
60,5,2,2,3,3
61,5,2,2,3,3
62,1,4,2,3,2
63,1,4,2,3,2
64,1,4,2,3,2
65,1,5,2,2,2
66,1,5,2,2,2
67,1,1,2,2,2
68,3,1,4,2,2
69,3,1,4,2,2
70,3,1,4,2,4
71,3,1,5,2,4
72,3,1,5,2,4
73,4,2,3,5,1
74,4,2,3,5,1
75,4,2,3,1,1
76,5,2,3,1,1
77,5,2,3,1,1
78,1,2,2,1,1
79,1,2,2,1,3
80,1,2,2,1,3
81,1,4,2,3,3
82,1,4,2,3,3
83,1,4,2,3,3
84,3,5,2,3,2
85,3,5,2,3,2
86,3,1,4,2,2
87,3,1,4,2,2
88,3,1,4,2,2
89,2,1,5,2,2
90,2,1,5,2,2
91,2,1,1,2,2
92,2,3,1,2,4
93,2,3,1,2,4
94,2,3,1,4,4
95,2,3,1,4,5
96,2,3,1,4,5
97,5,4,2,1,3
98,5,4,2,1,3
99,1,4,2,1,3
100,1,5,2,1,3
101,1,5,2,1,3
102,1,1,2,1,2
103,1,1,2,3,2
104,1,1,2,3,2
105,3,1,4,3,2
106,3,1,4,3,2
107,3,1,4,3,2
108,3,3,5,2,2
109,3,3,5,2,2
110,2,3,1,2,4
111,2,3,1,2,4
112,2,3,1,2,4
113,2,2,1,2,5
114,2,2,1,2,5
115,2,2,1,2,1
116,2,2,3,4,1
117,2,2,3,4,1
118,4,2,3,4,1
119,4,2,3,5,1
120,4,2,3,5,1
121,5,3,4,2,1
122,5,3,4,2,1
123,5,3,4,2,1
124,5,3,4,2,1
125,5,3,1,5,1
126,5,4,1,5,2
127,3,4,1,5,2
128,3,4,1,5,2
129,3,4,1,5,2
130,3,1,2,5,5
131,3,1,2,3,5
132,4,1,2,3,5
133,4,1,2,3,5
134,4,1,5,3,5
135,4,2,5,3,5
136,1,2,5,4,3
137,1,2,5,4,3
138,1,2,5,4,3
139,1,5,5,4,3
140,1,5,3,1,3
141,2,5,3,1,4
142,2,5,3,1,4
143,2,5,3,1,4
144,2,5,3,1,4
145,3,4,1,5,2
146,3,4,1,5,2
147,3,4,1,5,2
148,3,4,1,5,2
149,3,1,1,5,5
150,4,1,2,5,5
151,4,1,2,3,5
152,4,1,2,3,5
153,4,1,2,3,5
154,1,2,5,3,5
155,1,2,5,3,3
156,1,2,5,4,3
157,1,2,5,4,3
158,1,5,5,4,3
159,2,5,5,4,3
160,2,5,3,1,4
161,2,5,3,1,4
162,2,5,3,1,4
163,5,5,3,1,4
164,5,3,3,1,1
165,5,3,4,2,1
166,5,3,4,2,1
167,5,3,4,2,1
168,5,3,4,2,1
169,4,1,2,3,5
170,4,1,2,3,5
171,4,1,2,3,5
172,4,1,2,3,5
173,1,1,5,3,5
174,1,2,5,4,5
175,1,2,5,4,3
176,1,2,5,4,3
177,1,2,5,4,3
178,2,5,5,1,3
179,2,5,3,1,3
180,2,5,3,1,4
181,2,5,3,1,4
182,5,5,3,1,4
183,5,5,3,2,4
184,5,3,4,2,1
185,5,3,4,2,1
186,5,3,4,2,1
187,5,3,4,5,1
188,3,3,1,5,1
189,3,4,1,5,2
190,3,4,1,5,2
191,3,4,1,5,2
192,3,4,1,5,2
193,1,2,5,4,3
194,1,2,5,4,3
195,1,2,5,4,3
196,1,2,5,4,3
197,1,5,5,1,3
198,2,5,5,1,4
199,2,5,3,1,4
200,2,5,3,1,4
201,2,5,3,1,4
202,5,5,3,2,1
203,5,3,3,2,1
204,5,3,4,2,1
205,5,3,4,2,1
206,5,3,4,5,1
207,5,3,4,5,2
208,3,4,1,5,2
209,3,4,1,5,2
210,3,4,1,5,2
211,3,4,1,5,5
212,3,1,1,3,5
213,4,1,2,3,5
214,4,1,2,3,5
215,4,1,2,3,5
216,4,1,2,3,5
217,2,5,3,1,4
218,2,5,3,1,4
219,2,5,3,1,4
220,2,5,3,1,4
221,5,5,3,1,1
222,5,5,4,2,1
223,5,3,4,2,1
224,5,3,4,2,1
225,5,3,4,2,1
226,5,3,1,5,2
227,3,3,1,5,2
228,3,4,1,5,2
229,3,4,1,5,2
230,3,4,1,5,5
231,3,4,2,5,5
232,4,1,2,3,5
233,4,1,2,3,5
234,4,1,2,3,5
235,4,1,5,3,5
236,1,1,5,3,3
237,1,2,5,4,3
238,1,2,5,4,3
239,1,2,5,4,3
240,1,2,5,4,3
