period,cock,crow,owl,peacock,vulture
0,4,2,3,5,1
1,4,2,3,5,1
2,4,2,3,5,1
3,4,2,3,1,1
4,5,2,3,1,1
5,5,2,3,1,1
6,1,2,2,1,1
7,1,2,2,1,3
8,1,2,2,1,3
9,1,4,2,3,3
10,1,4,2,3,3
11,1,4,2,3,3
12,3,5,2,3,2
13,3,5,2,3,2
14,3,1,4,2,2
15,3,1,4,2,2
16,3,1,4,2,2
17,2,1,5,2,2
18,2,1,5,2,2
19,2,1,1,2,2
20,2,3,1,2,4
21,2,3,1,2,4
22,2,3,1,4,4
23,2,3,1,4,5
24,2,3,1,4,5
25,5,4,2,1,3
26,5,4,2,1,3
27,1,4,2,1,3
28,1,5,2,1,3
29,1,5,2,1,3
30,1,1,2,1,2
31,1,1,2,3,2
32,1,1,2,3,2
33,3,1,4,3,2
34,3,1,4,3,2
35,3,1,4,3,2
36,3,3,5,2,2
37,3,3,5,2,2
38,2,3,1,2,4
39,2,3,1,2,4
40,2,3,1,2,4
41,2,2,1,2,5
42,2,2,1,2,5
43,2,2,1,2,1
44,2,2,3,4,1
45,2,2,3,4,1
46,4,2,3,4,1
47,4,2,3,5,1
48,4,2,3,5,1
49,1,5,4,3,2
50,1,5,4,3,2
51,1,1,4,3,2
52,1,1,5,3,2
53,1,1,5,3,2
54,1,1,1,2,2
55,3,1,1,2,2
56,3,1,1,2,2
57,3,3,1,2,4
58,3,3,1,2,4
59,3,3,1,2,4
60,2,3,3,2,5
61,2,3,3,2,5
62,2,2,3,4,1
63,2,2,3,4,1
64,2,2,3,4,1
65,2,2,2,5,1
66,2,2,2,5,1
67,2,2,2,1,1
68,4,2,2,1,3
69,4,2,2,1,3
70,4,4,2,1,3
71,5,4,2,1,3
72,5,4,2,1,3
73,3,1,5,2,4
74,3,1,5,2,4
75,3,1,1,2,4
76,3,1,1,2,5
77,3,1,1,2,5
78,2,1,1,2,1
79,2,3,1,2,1
80,2,3,1,2,1
81,2,3,3,4,1
82,2,3,3,4,1
83,2,3,3,4,1
84,2,2,3,5,3
85,2,2,3,5,3
86,4,2,2,1,3
87,4,2,2,1,3
88,4,2,2,1,3
89,5,2,2,1,2
90,5,2,2,1,2
91,1,2,2,1,2
92,1,4,2,3,2
93,1,4,2,3,2
94,1,4,4,3,2
95,1,5,4,3,2
96,1,5,4,3,2
97,2,3,1,4,5
98,2,3,1,4,5
99,2,3,1,4,1
100,2,3,1,5,1
101,2,3,1,5,1
102,2,2,1,1,1
103,2,2,3,1,1
104,2,2,3,1,1
105,4,2,3,1,3
106,4,2,3,1,3
107,4,2,3,1,3
108,5,2,2,3,3
109,5,2,2,3,3
110,1,4,2,3,2
111,1,4,2,3,2
112,1,4,2,3,2
113,1,5,2,2,2
114,1,5,2,2,2
115,1,1,2,2,2
116,3,1,4,2,2
117,3,1,4,2,2
