period,cock,crow,owl,peacock,vulture
118,3,1,4,2,4
119,3,1,5,2,4
120,3,1,5,2,4
121,4,1,2,3,5
122,4,1,2,3,5
123,4,1,2,3,5
124,4,1,2,3,5
125,1,1,5,3,5
126,1,2,5,4,5
127,1,2,5,4,3
128,1,2,5,4,3
129,1,2,5,4,3
130,2,5,5,1,3
131,2,5,3,1,3
132,2,5,3,1,4
133,2,5,3,1,4
134,5,5,3,1,4
135,5,5,3,2,4
136,5,3,4,2,1
137,5,3,4,2,1
138,5,3,4,2,1
139,5,3,4,5,1
140,3,3,1,5,1
141,3,4,1,5,2
142,3,4,1,5,2
143,3,4,1,5,2
144,3,4,1,5,2
145,1,2,5,4,3
146,1,2,5,4,3
147,1,2,5,4,3
148,1,2,5,4,3
149,1,5,5,1,3
150,2,5,5,1,4
151,2,5,3,1,4
152,2,5,3,1,4
153,2,5,3,1,4
154,5,5,3,2,1
155,5,3,3,2,1
156,5,3,4,2,1
157,5,3,4,2,1
158,5,3,4,5,1
159,5,3,4,5,2
160,3,4,1,5,2
161,3,4,1,5,2
162,3,4,1,5,2
163,3,4,1,5,5
164,3,1,1,3,5
165,4,1,2,3,5
166,4,1,2,3,5
167,4,1,2,3,5
168,4,1,2,3,5
169,2,5,3,1,4
170,2,5,3,1,4
171,2,5,3,1,4
172,2,5,3,1,4
173,5,5,3,1,1
174,5,5,4,2,1
175,5,3,4,2,1
176,5,3,4,2,1
177,5,3,4,2,1
178,5,3,1,5,2
179,3,3,1,5,2
180,3,4,1,5,2
181,3,4,1,5,2
182,3,4,1,5,5
183,3,4,2,5,5
184,4,1,2,3,5
185,4,1,2,3,5
186,4,1,2,3,5
187,4,1,5,3,5
188,1,1,5,3,3
189,1,2,5,4,3
190,1,2,5,4,3
191,1,2,5,4,3
192,1,2,5,4,3
193,5,3,4,2,1
194,5,3,4,2,1
195,5,3,4,2,1
196,5,3,4,2,1
197,5,3,1,5,1
198,5,4,1,5,2
199,3,4,1,5,2
200,3,4,1,5,2
201,3,4,1,5,2
202,3,1,2,5,5
203,3,1,2,3,5
204,4,1,2,3,5
205,4,1,2,3,5
206,4,1,5,3,5
207,4,2,5,3,5
208,1,2,5,4,3
209,1,2,5,4,3
210,1,2,5,4,3
211,1,5,5,4,3
212,1,5,3,1,3
213,2,5,3,1,4
214,2,5,3,1,4
215,2,5,3,1,4
216,2,5,3,1,4
217,3,4,1,5,2
218,3,4,1,5,2
219,3,4,1,5,2
220,3,4,1,5,2
221,3,1,1,5,5
222,4,1,2,5,5
223,4,1,2,3,5
224,4,1,2,3,5
225,4,1,2,3,5
226,1,2,5,3,5
227,1,2,5,3,3
228,1,2,5,4,3
229,1,2,5,4,3
230,1,5,5,4,3
231,2,5,5,4,3
232,2,5,3,1,4
233,2,5,3,1,4
234,2,5,3,1,4
235,5,5,3,1,4
236,5,3,3,1,1
237,5,3,4,2,1
238,5,3,4,2,1
239,5,3,4,2,1
240,5,3,4,2,1
