period,cock,crow,owl,peacock,vulture
0,5,2,1,3,4
1,5,2,1,3,4
2,5,2,1,3,4
3,5,2,1,3,2
4,5,3,1,3,2
5,5,3,1,3,2
6,4,3,1,3,3
7,4,3,1,1,3
8,2,3,1,1,3
9,2,3,5,1,3
10,2,1,5,1,3
11,3,1,5,1,3
12,3,1,5,1,1
13,3,1,5,1,1
14,3,1,4,1,1
15,3,1,4,5,1
16,3,1,2,5,1
17,1,1,2,5,1
18,1,5,2,5,1
19,1,5,3,5,1
20,1,5,3,4,5
21,1,5,3,4,5
22,1,5,3,2,5
23,1,4,3,2,5
24,1,4,3,2,5
25,4,3,5,1,2
26,4,3,5,1,2
27,2,3,5,1,2
28,2,3,5,1,3
29,2,3,5,1,3
30,3,3,4,1,3
31,3,1,4,1,3
32,3,1,2,1,3
33,3,1,2,5,3
34,3,1,2,5,1
35,3,1,3,5,1
36,1,1,3,5,1
37,1,1,3,5,1
38,1,1,3,4,1
39,1,5,3,4,1
40,1,5,3,2,1
41,1,5,1,2,1
42,1,5,1,2,5
43,1,5,1,3,5
44,5,4,1,3,5
45,5,4,1,3,5
46,5,2,1,3,5
47,5,2,1,3,4
48,5,2,1,3,4
49,2,1,4,5,3
50,2,1,4,5,3
51,2,1,2,5,3
52,3,1,2,5,3
53,3,1,2,5,3
54,3,1,3,4,3
55,3,1,3,4,1
56,3,1,3,2,1
57,3,5,3,2,1
58,1,5,3,2,1
59,1,5,3,3,1
60,1,5,1,3,1
61,1,5,1,3,1
62,1,4,1,3,1
63,1,4,1,3,5
64,1,2,1,3,5
65,1,2,1,1,5
66,5,2,1,1,5
67,5,3,1,1,5
68,5,3,5,1,4
69,5,3,5,1,4
70,5,3,5,1,2
71,4,3,5,1,2
72,4,3,5,1,2
73,3,5,2,4,1
74,3,5,2,4,1
75,3,5,2,2,1
76,3,5,3,2,1
77,3,5,3,2,1
78,3,4,3,3,1
79,1,4,3,3,1
80,1,2,3,3,1
81,1,2,3,3,5
82,1,2,1,3,5
83,1,3,1,3,5
84,1,3,1,1,5
85,1,3,1,1,5
86,1,3,1,1,4
87,5,3,1,1,4
88,5,3,1,1,2
89,5,1,1,1,2
90,5,1,5,1,2
91,5,1,5,1,3
92,4,1,5,5,3
93,4,1,5,5,3
94,2,1,5,5,3
95,2,1,4,5,3
96,2,1,4,5,3
97,1,4,3,2,5
98,1,4,3,2,5
99,1,2,3,2,5
100,1,2,3,3,5
101,1,2,3,3,5
102,1,3,3,3,4
103,1,3,1,3,4
104,1,3,1,3,2
105,5,3,1,3,2
106,5,3,1,1,2
107,5,3,1,1,3
108,5,1,1,1,3
109,5,1,1,1,3
110,4,1,1,1,3
111,4,1,5,1,3
112,2,1,5,1,3
113,2,1,5,1,1
114,2,1,5,5,1
115,3,1,5,5,1
116,3,5,4,5,1
117,3,5,4,5,1
118,3,5,2,5,1
119,3,5,2,4,1
120,3,5,2,4,1
121,4,2,3,5,1
122,4,2,3,5,1
123,4,2,3,5,1
124,3,1,3,5,1
125,3,1,3,2,1
126,3,1,3,2,1
127,3,1,3,2,1
128,3,1,5,1,4
129,3,1,5,1,4
130,3,1,5,1,4
131,5,4,5,1,3
132,5,4,2,1,3
133,5,4,2,1,3
134,5,3,2,1,3
135,2,3,1,4,3
136,2,3,1,4,3
137,2,3,1,4,3
138,1,3,1,3,5
139,1,3,1,3,5
140,1,3,1,3,5
141,1,5,1,3,5
142,1,5,4,3,2
143,1,5,4,3,2
144,1,5,4,3,2
145,3,1,5,2,4
146,3,1,5,2,4
147,3,1,5,2,4
148,3,1,5,1,3
149,3,1,2,1,3
150,3,1,2,1,3
151,3,1,2,1,3
152,5,4,1,1,3
153,5,4,1,1,3
154,5,4,1,1,3
155,5,3,1,4,5
156,2,3,1,4,5
157,2,3,1,4,5
158,2,3,1,3,5
159,1,3,4,3,2
160,1,3,4,3,2
161,1,3,4,3,2
162,1,5,3,3,1
163,1,5,3,3,1
164,1,5,3,3,1
165,1,5,3,5,1
166,4,2,3,5,1
167,4,2,3,5,1
168,4,2,3,5,1
169,5,4,2,1,3
170,5,4,2,1,3
171,5,4,2,1,3
172,5,3,1,1,3
173,2,3,1,1,3
174,2,3,1,1,3
175,2,3,1,1,3
176,1,3,1,4,5
177,1,3,1,4,5
178,1,3,1,4,5
179,1,5,4,3,5
180,1,5,4,3,2
181,1,5,4,3,2
182,1,5,3,3,2
183,4,2,3,3,1
184,4,2,3,3,1
185,4,2,3,3,1
186,3,1,3,5,1
187,3,1,3,5,1
188,3,1,3,5,1
189,3,1,5,5,1
190,3,1,5,2,4
191,3,1,5,2,4
192,3,1,5,2,4
193,2,3,1,4,5
194,2,3,1,4,5
195,2,3,1,4,5
196,1,3,1,3,5
197,1,3,1,3,2
198,1,3,1,3,2
199,1,3,1,3,2
200,1,5,4,3,1
201,1,5,4,3,1
202,1,5,4,3,1
203,4,5,3,5,1
204,4,2,3,5,1
205,4,2,3,5,1
206,3,2,3,5,1
207,3,1,3,2,4
208,3,1,3,2,4
209,3,1,3,2,4
210,3,1,5,1,3
211,3,1,5,1,3
212,3,1,5,1,3
213,5,1,5,1,3
214,5,4,2,1,3
215,5,4,2,1,3
216,5,4,2,1,3
217,1,5,4,3,2
218,1,5,4,3,2
219,1,5,4,3,2
220,1,5,3,3,1
221,1,2,3,3,1
222,1,2,3,3,1
223,1,2,3,3,1
224,4,1,3,5,1
225,4,1,3,5,1
226,4,1,3,5,1
227,3,1,5,5,4
228,3,1,5,2,4
229,3,1,5,2,4
230,3,1,5,2,3
231,3,4,2,1,3
232,3,4,2,1,3
233,3,4,2,1,3
234,5,3,1,1,3
235,5,3,1,1,3
236,5,3,1,1,3
237,5,3,1,1,5
238,2,3,1,4,5
239,2,3,1,4,5
240,2,3,1,4,5
